title,company_name,location_city,location_state,location_zip,compensation_pay,description_all
x,x,SAN JOSE,CA,95125,106610,x
x,x,SEATTLE,WA,98194,90292,x
x,x,BELLEVUE,WA,98004,50911,x
x,x,SANTA CRUZ,CA,95064,89925,x
x,x,SAN FRANCISCO,CA,94121,95150,x
x,x,PHILADELPHIA,PA,19170,113257,x
x,x,IRVINE,CA,92604,105120,x
x,x,MOUNTAIN VIEW,CA,94041,47035,x
x,x,PALO ALTO,CA,94306,89925,x
x,x,GOLDEN VALLEY,MN,55427,50911,x
x,x,ARLINGTON,VA,,111840,x
x,x,INDIANAPOLIS,IN,46202,142460,x
x,x,SAN MATEO,CA,94497,50911,x
x,x,MONTGOMERY,AL,36111,50911,x
x,x,SAN FRANCISCO,CA,94103,99760,x
x,x,SEATTLE,WA,98118,90630,x
x,x,CHARLOTTE,NC,28269,87526,x
x,x,WALTHAM,MA,2451,113128,x
x,x,MENLO PARK,CA,94025,136291,x
x,x,HOPKINTON,MA,1748,135930,x
x,x,ST LOUIS,MO,63105,68116,x
x,x,SAN FRANCISCO,CA,94111,123500,x
x,x,RICHLAND,WA,99352,90292,x
x,x,,NC,,112400,x
x,x,ALEXANDRIA,VA,22333,96660,x
x,x,MELBOURNE,FL,32935,90824,x
x,x,CHICAGO,IL,60603,109310,x
x,x,LOS ANGELES,CA,90006,99760,x
x,x,WILMINGTON,DE,19804,80681,x
x,x,NEW YORK,NY,,121110,x
x,x,CHARLOTTE,NC,28269,87526,x
x,x,INDIANAPOLIS,IN,46202,50911,x
x,x,RALEIGH,NC,27628,50911,x
x,x,BENTONVILLE,AR,72712,50911,x
x,x,SAN FRANCISCO,CA,94121,106610,x
x,x,CHICAGO,IL,60655,85368,x
x,x,IRVING,TX,75038,50911,x
x,x,IRVINE,CA,92604,105120,x
x,x,CHICAGO,IL,60290,130778,x
x,x,SUNNYVALE,CA,94089,106610,x
x,x,LANDOVER,MD,,71090,x
x,x,SAN BRUNO,CA,94066,99760,x
x,x,MENLO PARK,CA,94025,136291,x
